sheet,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
Year 2009-2010,507296,21718,RED METAL BEACH SPADE ,8,2010-05-07 14:44:00,1.25,15465.0,United Kingdom
Year 2009-2010,507297,79000,MOROCCAN TEA GLASS,24,2010-05-07 14:44:00,0.85,13313.0,United Kingdom
Year 2009-2010,C507361,79341,WILLOW BRANCH LIGHTS.,-1,2010-05-07 15:55:00,6.75,15311.0,United Kingdom
Year 2009-2010,507368,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-05-07 17:28:00,2.95,13969.0,United Kingdom
Year 2009-2010,507388,85059,FRENCH ENAMEL WATER BASIN,2,2010-05-09 12:12:00,3.75,14474.0,United Kingdom
Year 2009-2010,507393,22522,CHILDS GARDEN FORK BLUE ,12,2010-05-09 12:49:00,0.85,14911.0,EIRE
Year 2009-2010,507417,22385,JUMBO BAG SPACEBOY DESIGN,10,2010-05-09 14:35:00,1.95,13425.0,United Kingdom
Year 2009-2010,507453,21186,WHITE DOVE HONEYCOMB PAPER GARLAND,12,2010-05-10 10:11:00,1.65,15674.0,United Kingdom
Year 2009-2010,507458,21827,EIGHT PIECE CREEPY CRAWLIE SET,12,2010-05-10 10:29:00,1.25,15561.0,United Kingdom
Year 2009-2010,507586,79160,HEART SHAPE WIRELESS DOORBELL,2,2010-05-10 12:42:00,2.1,17841.0,United Kingdom
Year 2009-2010,C507599,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,-1,2010-05-10 13:26:00,4.25,13136.0,United Kingdom
Year 2009-2010,507648,84688,BEACH HUT DESIGN BLACKBOARD,24,2010-05-10 15:48:00,1.65,15555.0,United Kingdom
Year 2009-2010,507669,20914,SET/5 RED SPOTTY LID GLASS BOWLS,6,2010-05-11 08:59:00,2.95,15078.0,United Kingdom
Year 2009-2010,507673,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,2010-05-11 09:29:00,1.25,14911.0,EIRE
Year 2009-2010,507750,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,6,2010-05-11 12:18:00,1.25,16419.0,United Kingdom
Year 2009-2010,507837,22024,RAINY LADIES BIRTHDAY CARD,9,2010-05-11 13:29:00,0.42,15358.0,United Kingdom
Year 2009-2010,507847,22271,FELTCRAFT DOLL ROSIE,6,2010-05-11 14:40:00,2.95,16307.0,United Kingdom
Year 2009-2010,507889,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,2010-05-11 16:35:00,4.95,15862.0,United Kingdom
Year 2009-2010,507923,22559,SEASIDE FLYING DISC,12,2010-05-12 09:51:00,1.25,17364.0,United Kingdom
Year 2009-2010,508037,21259,VICTORIAN SEWING BOX SMALL ,1,2010-05-12 12:09:00,5.95,16891.0,United Kingdom
Year 2009-2010,508074,M,Manual,3,2010-05-12 16:03:00,2.0,17897.0,United Kingdom
Year 2009-2010,508095,21791,VINTAGE HEADS AND TAILS CARD GAME ,400,2010-05-13 08:57:00,1.06,12931.0,United Kingdom
Year 2009-2010,508214,84971S,SMALL HEART FLOWERS HOOK ,12,2010-05-13 14:51:00,0.85,15768.0,United Kingdom
Year 2009-2010,508221,21034,REX CASH+CARRY JUMBO SHOPPER,2,2010-05-13 15:41:00,0.95,18225.0,United Kingdom
Year 2009-2010,508235,22099,CARAVAN SQUARE TISSUE BOX,1,2010-05-13 18:49:00,1.25,15478.0,United Kingdom
Year 2009-2010,C508238,22177,5 HOOK BLACKBOARD ORGANISER ,-1,2010-05-13 19:28:00,9.95,14493.0,United Kingdom
Year 2009-2010,508251,22561,WOODEN SCHOOL COLOURING SET,24,2010-05-14 10:40:00,1.65,13157.0,United Kingdom
Year 2009-2010,508328,22530,MAGIC DRAWING SLATE DOLLY GIRL ,5,2010-05-14 11:50:00,0.42,16161.0,United Kingdom
Year 2009-2010,508339,85055,FRENCH ENAMEL UTENSIL HOLDER,4,2010-05-14 12:17:00,3.75,13873.0,United Kingdom
Year 2009-2010,508396,BANK CHARGES,Bank Charges,1,2010-05-14 14:54:00,39.24,,United Kingdom
Year 2009-2010,508408,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2010-05-14 15:56:00,1.25,13300.0,United Kingdom
Year 2009-2010,508451,21698,MOCK LOBSTER FRIDGE MAGNET,1,2010-05-14 16:33:00,1.66,,United Kingdom
Year 2009-2010,508462,22515,CHILDS GARDEN SPADE PINK,2,2010-05-16 10:23:00,2.1,13259.0,United Kingdom
Year 2009-2010,508581,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,48,2010-05-17 11:55:00,1.69,18287.0,United Kingdom
Year 2009-2010,508594,21259,VICTORIAN SEWING BOX SMALL ,24,2010-05-17 12:11:00,4.95,16656.0,United Kingdom
Year 2009-2010,508654,21238,RED SPOTTY CUP,8,2010-05-17 15:54:00,0.85,15296.0,United Kingdom
Year 2009-2010,C508725,79323W,WHITE CHERRY LIGHTS,-4,2010-05-18 09:33:00,6.75,13000.0,United Kingdom
Year 2009-2010,508750,22379,RECYCLING BAG RETROSPOT ,5,2010-05-18 11:48:00,2.1,13018.0,United Kingdom
Year 2009-2010,508856,22423,REGENCY CAKESTAND 3 TIER,2,2010-05-18 15:15:00,12.75,12913.0,United Kingdom
Year 2009-2010,508864,22384,LUNCH BAG PINK RETROSPOT,9,2010-05-18 16:09:00,1.65,17589.0,United Kingdom
Year 2009-2010,509002,82551,LAUNDRY 15C METAL SIGN,12,2010-05-19 13:26:00,1.25,14220.0,United Kingdom
Year 2009-2010,509027,22090,PAPER BUNTING RETRO SPOTS,2,2010-05-19 15:10:00,2.95,12837.0,United Kingdom
Year 2009-2010,509028,85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,4,2010-05-19 15:23:00,4.25,16717.0,United Kingdom
Year 2009-2010,509047,22634,CHILDS BREAKFAST SET SPACEBOY ,8,2010-05-20 10:42:00,8.5,13952.0,United Kingdom
Year 2009-2010,509051,21206,STRAWBERRY HONEYCOMB  GARLAND ,1,2010-05-20 11:04:00,1.65,15854.0,United Kingdom
Year 2009-2010,509055,21137,BLACK RECORD COVER FRAME,24,2010-05-20 11:19:00,3.39,13983.0,United Kingdom
Year 2009-2010,509158,21240,BLUE  SPOTTY CUP,4,2010-05-20 13:28:00,0.85,14850.0,United Kingdom
Year 2009-2010,509173,48188,DOOR MAT WELCOME PUPPIES,2,2010-05-20 15:51:00,7.49,17465.0,United Kingdom
Year 2009-2010,509186,22470,HEART OF WICKER LARGE,6,2010-05-20 16:53:00,2.95,13659.0,United Kingdom
Year 2009-2010,509188,47590B,PINK HAPPY BIRTHDAY BUNTING,3,2010-05-20 17:04:00,5.45,12422.0,Switzerland
Year 2009-2010,509213,48187,DOOR MAT NEW ENGLAND,2,2010-05-21 10:22:00,7.49,17146.0,United Kingdom
Year 2009-2010,509351,22425,ENAMEL COLANDER CREAM,6,2010-05-21 13:29:00,4.95,14220.0,United Kingdom
Year 2009-2010,509389,21547,CERAMIC BIRDHOUSE CRESTED TIT SMALL,2,2010-05-21 17:19:00,2.95,13174.0,United Kingdom
Year 2009-2010,509394,48111,DOOR MAT 3 SMILEY CATS,2,2010-05-23 10:54:00,7.49,13647.0,United Kingdom
Year 2009-2010,509400,22383,LUNCH BAG SUKI  DESIGN ,10,2010-05-23 11:19:00,1.65,16923.0,United Kingdom
Year 2009-2010,509408,21911,GARDEN METAL SIGN ,12,2010-05-23 11:46:00,1.65,16290.0,United Kingdom
Year 2009-2010,509428,20982,12 PENCILS TALL TUBE SKULLS,2,2010-05-23 14:04:00,0.85,16549.0,United Kingdom
Year 2009-2010,509454,21124,SET/10 BLUE SPOTTY PARTY CANDLES,24,2010-05-24 10:02:00,1.25,12921.0,United Kingdom
Year 2009-2010,509456,21621,VINTAGE UNION JACK BUNTING,4,2010-05-24 10:30:00,8.5,13047.0,United Kingdom
Year 2009-2010,509460,22189,CREAM HEART CARD HOLDER,8,2010-05-24 10:44:00,3.95,12759.0,Netherlands
Year 2009-2010,509463,22207,FRYING PAN UNION FLAG,4,2010-05-24 10:54:00,4.25,13963.0,United Kingdom
Year 2009-2010,C509473,ADJUST,Adjustment by Peter on 24/05/2010 1,-1,2010-05-24 11:12:00,300.13,17050.0,United Kingdom
Year 2009-2010,509567,22564,ALPHABET STENCIL CRAFT,12,2010-05-24 13:07:00,1.06,17448.0,United Kingdom
Year 2009-2010,509615,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,2010-05-25 09:34:00,1.25,12802.0,Netherlands
Year 2009-2010,509627,21519,GIN & TONIC DIET GREETING CARD ,12,2010-05-25 09:55:00,0.42,12360.0,Austria
Year 2009-2010,509627,22614,PACK OF 12 SPACEBOY TISSUES,48,2010-05-25 09:55:00,0.29,12360.0,Austria
Year 2009-2010,C509650,21156,RED SPOTTY CHILDS APRON,-1,2010-05-25 11:55:00,1.95,17841.0,United Kingdom
Year 2009-2010,509870,21624,VINTAGE UNION JACK DOORSTOP,6,2010-05-26 10:48:00,5.95,13883.0,United Kingdom
Year 2009-2010,509967,21620,S/4 ROSE    BOTANICAL  CANDLE,3,2010-05-26 13:18:00,3.75,16046.0,United Kingdom
Year 2009-2010,C509978,90200C,BLUE SWEETHEART BRACELET,-1,2010-05-26 14:06:00,4.25,14649.0,United Kingdom
Year 2009-2010,509980,21544,SKULLS  WATER TRANSFER TATTOOS ,12,2010-05-26 14:07:00,0.85,12378.0,Switzerland
Year 2009-2010,509985,48138,DOOR MAT UNION FLAG,2,2010-05-26 14:43:00,7.49,12681.0,France
Year 2009-2010,510024,84797B,nan,-26,2010-05-26 15:26:00,0.0,,United Kingdom
Year 2009-2010,510058,21791,VINTAGE HEADS AND TAILS CARD GAME ,4,2010-05-27 10:13:00,1.25,14754.0,United Kingdom
Year 2009-2010,510078,21535,RED RETROSPOT SMALL MILK JUG,6,2010-05-27 11:22:00,2.55,14113.0,United Kingdom
Year 2009-2010,510149,82581,TOILET METAL SIGN,25,2010-05-27 12:55:00,0.55,17873.0,United Kingdom
Year 2009-2010,510155,22178,VICTORIAN GLASS HANGING T-LIGHT,96,2010-05-27 13:26:00,1.06,14739.0,United Kingdom
Year 2009-2010,510157,22222,CAKE PLATE LOVEBIRD WHITE,2,2010-05-27 13:34:00,4.95,13715.0,United Kingdom
Year 2009-2010,510172,22384,LUNCH BAG PINK RETROSPOT,10,2010-05-27 14:38:00,1.65,18145.0,United Kingdom
Year 2009-2010,510195,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,2010-05-27 19:53:00,1.25,13230.0,United Kingdom
Year 2009-2010,510197,21380,WOODEN HAPPY BIRTHDAY GARLAND,5,2010-05-27 20:20:00,2.95,17231.0,United Kingdom
Year 2009-2010,510197,84789,ENCHANTED BIRD PLANT CAGE,3,2010-05-27 20:20:00,3.75,17231.0,United Kingdom
Year 2009-2010,C510293,21843,RED RETROSPOT CAKE STAND,-1,2010-05-28 11:50:00,9.95,15838.0,United Kingdom
Year 2009-2010,510331,22613,PACK OF 20 SPACEBOY NAPKINS,12,2010-05-28 13:57:00,0.85,13081.0,United Kingdom
Year 2009-2010,510354,22561,WOODEN SCHOOL COLOURING SET,12,2010-05-28 15:12:00,1.65,12499.0,Germany
Year 2009-2010,510410,gift_0001_30,Dotcomgiftshop Gift Voucher £30.00,1,2010-05-28 17:25:00,25.53,,United Kingdom
Year 2009-2010,510419,21231,SWEETHEART CERAMIC TRINKET BOX,2,2010-05-30 11:37:00,1.25,16206.0,United Kingdom
Year 2009-2010,510593,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-06-02 10:07:00,2.95,17377.0,United Kingdom
Year 2009-2010,510637,gift_0001_10,Dotcomgiftshop Gift Voucher £10.00,1,2010-06-02 11:54:00,8.51,,United Kingdom
Year 2009-2010,510682,21498,RED SPOTS  WRAP ,25,2010-06-03 09:29:00,0.42,13131.0,United Kingdom
Year 2009-2010,510734,21137,BLACK RECORD COVER FRAME,24,2010-06-03 11:21:00,3.39,17157.0,United Kingdom
Year 2009-2010,510763,84839,SWEETHEART KEY CABINET,2,2010-06-03 13:08:00,6.75,13787.0,United Kingdom
Year 2009-2010,510775,16202A,PASTEL PINK PHOTO ALBUM ,12,2010-06-03 14:44:00,1.95,14156.0,EIRE
Year 2009-2010,C510833,22349,"DOG BOWL , CHASING BALL DESIGN",-4,2010-06-03 20:15:00,3.39,13078.0,United Kingdom
Year 2009-2010,510936,22090,PAPER BUNTING RETRO SPOTS,12,2010-06-04 10:35:00,2.95,12701.0,Germany
Year 2009-2010,510962,21669,BLUE STRIPE CERAMIC DRAWER KNOB,1,2010-06-04 11:02:00,1.25,15547.0,United Kingdom
Year 2009-2010,510965,20863,BLUE PATCH PENCIL CASE PINK HEART,27,2010-06-04 11:37:00,1.69,16754.0,United Kingdom
Year 2009-2010,511027,84991,60 TEATIME FAIRY CAKE CASES,1,2010-06-06 10:30:00,0.55,13593.0,United Kingdom
Year 2009-2010,511033,84991,60 TEATIME FAIRY CAKE CASES,24,2010-06-06 10:56:00,0.55,16271.0,United Kingdom
Year 2009-2010,511035,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2010-06-06 10:57:00,2.95,16242.0,United Kingdom
Year 2009-2010,511038,85017B,ENVELOPE 50 BLOSSOM IMAGES,12,2010-06-06 11:11:00,0.85,14766.0,United Kingdom
Year 2009-2010,511041,21431,GREEN GINGHAM FLOWER JEWELLERY BOX,8,2010-06-06 11:21:00,1.65,12932.0,United Kingdom
Year 2009-2010,511046,48185,DOOR MAT FAIRY CAKE,1,2010-06-06 11:35:00,7.49,16335.0,United Kingdom
Year 2009-2010,511047,22057,CERAMIC PLATE STRAWBERRY DESIGN,3,2010-06-06 11:38:00,1.49,14573.0,United Kingdom
Year 2009-2010,C511049,22485,SET OF 2 WOODEN MARKET CRATES,-1,2010-06-06 11:40:00,12.75,12748.0,United Kingdom
Year 2009-2010,511050,22434,BALLOON PUMP WITH 10 BALLOONS,1,2010-06-06 12:07:00,1.95,16782.0,United Kingdom
Year 2009-2010,511050,20675,BLUE SPOTTY BOWL,3,2010-06-06 12:07:00,1.25,16782.0,United Kingdom
Year 2009-2010,511051,22312,OFFICE MUG WARMER POLKADOT,1,2010-06-06 12:13:00,4.95,12911.0,United Kingdom
Year 2009-2010,511070,22329,ROUND CONTAINER SET OF 5 RETROSPOT,2,2010-06-06 13:26:00,1.65,16340.0,United Kingdom
Year 2009-2010,511078,22423,REGENCY CAKESTAND 3 TIER,1,2010-06-06 13:52:00,12.75,16497.0,United Kingdom
Year 2009-2010,511095,21758,VINTAGE SHELLS PRINT,6,2010-06-06 15:47:00,6.45,14249.0,United Kingdom
Year 2009-2010,511096,21915,RED  HARMONICA IN BOX ,12,2010-06-06 15:49:00,1.25,12682.0,France
Year 2009-2010,511266,21611,SET OF 12 LILY BOTANICAL T-LIGHTS,1,2010-06-07 12:51:00,2.95,14534.0,United Kingdom
Year 2009-2010,511284,47556B,TEA TIME TEA TOWELS ,4,2010-06-07 14:39:00,2.95,14467.0,United Kingdom
Year 2009-2010,511298,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2010-06-07 15:14:00,1.25,15260.0,United Kingdom
Year 2009-2010,511310,90162B,ANT SILVER LIME GREEN BOUDICCA RING,1,2010-06-07 16:08:00,2.95,17784.0,United Kingdom
Year 2009-2010,511433,16161P,WRAP ENGLISH ROSE ,25,2010-06-08 11:49:00,0.42,17706.0,United Kingdom
Year 2009-2010,C511436,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,-24,2010-06-08 11:57:00,0.65,17201.0,United Kingdom
Year 2009-2010,511474,48185,DOOR MAT FAIRY CAKE,1,2010-06-08 13:27:00,7.49,16791.0,United Kingdom
Year 2009-2010,511476,20897,VINTAGE NOTEBOOK PARIS DAYS,2,2010-06-08 13:37:00,2.95,15311.0,United Kingdom
Year 2009-2010,511497,82482,WOODEN PICTURE FRAME WHITE FINISH,12,2010-06-08 14:40:00,2.55,13089.0,United Kingdom
Year 2009-2010,511509,20726,LUNCH BAG WOODLAND,1,2010-06-08 15:26:00,4.21,,United Kingdom
Year 2009-2010,511509,m,Manual,1,2010-06-08 15:26:00,2.55,,United Kingdom
Year 2009-2010,511522,21538,DAIRY MAID  PUDDING BOWL,1,2010-06-08 16:47:00,3.75,16072.0,United Kingdom
Year 2009-2010,511610,22523,CHILDS GARDEN FORK PINK,12,2010-06-09 11:23:00,0.85,14260.0,United Kingdom
Year 2009-2010,C511649,21765,HANGING METAL BIRD BATH,-1,2010-06-09 13:55:00,7.95,14543.0,United Kingdom
Year 2009-2010,C511649,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,-1,2010-06-09 13:55:00,2.55,14543.0,United Kingdom
Year 2009-2010,511778,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,2010-06-10 12:37:00,6.45,17716.0,United Kingdom
Year 2009-2010,511783,48184,DOOR MAT ENGLISH ROSE ,1,2010-06-10 13:17:00,7.49,16713.0,United Kingdom
Year 2009-2010,511785,22029,SPACEBOY BIRTHDAY CARD,12,2010-06-10 13:37:00,0.42,15601.0,United Kingdom
Year 2009-2010,511803,48138,DOOR MAT UNION FLAG,2,2010-06-10 15:22:00,7.49,13658.0,United Kingdom
Year 2009-2010,511808,21836,GINGHAM OVEN GLOVE RED HEART ,2,2010-06-10 15:31:00,3.75,17377.0,United Kingdom
Year 2009-2010,C511815,79323G,GOLD  CHERRY LIGHTS,-4,2010-06-10 16:03:00,6.75,16104.0,United Kingdom
Year 2009-2010,C511819,22138,BAKING SET 9 PIECE RETROSPOT ,-5,2010-06-10 16:16:00,4.95,14168.0,United Kingdom
Year 2009-2010,511852,77101A,UNION FLAG WINDSOCK,1,2010-06-10 20:09:00,1.25,16549.0,United Kingdom
Year 2009-2010,511932,21272,SALLE DE BAIN HOOK,1,2010-06-11 11:52:00,1.25,17996.0,United Kingdom
Year 2009-2010,511991,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,216,2010-06-11 15:07:00,3.39,12557.0,Spain
Year 2009-2010,512118,90162B,ANT SILVER LIME GREEN BOUDICCA RING,2,2010-06-13 15:27:00,2.95,17231.0,United Kingdom
Year 2009-2010,512168,gift_0001_70,Dotcomgiftshop Gift Voucher £70.00,1,2010-06-14 11:24:00,59.57,,United Kingdom
Year 2009-2010,512271,84638,SMALL KITCHEN FLOWER POTS PLAQUE,2,2010-06-14 13:31:00,6.95,15817.0,United Kingdom
Year 2009-2010,512282,22222,CAKE PLATE LOVEBIRD WHITE,3,2010-06-14 14:06:00,4.95,14911.0,EIRE
Year 2009-2010,512285,22416,36 DOILIES SPACEBOY DESIGN ,2,2010-06-14 14:27:00,1.45,13069.0,United Kingdom
Year 2009-2010,512332,84991,60 TEATIME FAIRY CAKE CASES,24,2010-06-15 11:42:00,0.55,15358.0,United Kingdom
Year 2009-2010,512386,22302,COFFEE MUG PEARS  DESIGN,12,2010-06-15 12:14:00,2.55,12472.0,Germany
Year 2009-2010,512386,21096,SET/6 FRUIT SALAD  PAPER PLATES,24,2010-06-15 12:14:00,0.85,12472.0,Germany
Year 2009-2010,512386,22614,PACK OF 12 SPACEBOY TISSUES,48,2010-06-15 12:14:00,0.29,12472.0,Germany
Year 2009-2010,512432,22544,MINI JIGSAW SPACEBOY,48,2010-06-15 15:23:00,0.42,15625.0,United Kingdom
Year 2009-2010,512455,21380,WOODEN HAPPY BIRTHDAY GARLAND,6,2010-06-16 08:54:00,2.95,12957.0,United Kingdom
Year 2009-2010,512458,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2010-06-16 09:48:00,1.25,14634.0,United Kingdom
Year 2009-2010,512539,20751,FUNKY WASHING UP GLOVES ASSORTED,1,2010-06-16 12:48:00,2.1,13567.0,United Kingdom
Year 2009-2010,512552,22028,PENNY FARTHING BIRTHDAY CARD,12,2010-06-16 13:52:00,0.42,18044.0,United Kingdom
Year 2009-2010,512554,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,1,2010-06-16 14:01:00,1.45,15005.0,United Kingdom
Year 2009-2010,512556,21212,PACK OF 72 RETRO SPOT CAKE CASES,24,2010-06-16 14:12:00,0.55,16197.0,United Kingdom
Year 2009-2010,512567,22619,SET OF 6 SOLDIER SKITTLES,8,2010-06-16 14:41:00,3.75,14619.0,United Kingdom
Year 2009-2010,512591,22553,PLASTERS IN TIN SKULLS,12,2010-06-16 16:24:00,1.65,17160.0,United Kingdom
Year 2009-2010,512612,21669,BLUE STRIPE CERAMIC DRAWER KNOB,36,2010-06-17 10:28:00,1.25,17675.0,United Kingdom
Year 2009-2010,512613,21589,SWALLOW GIANT TUBE MATCHES,6,2010-06-17 10:30:00,2.55,17098.0,United Kingdom
Year 2009-2010,512624,20712,JUMBO BAG WOODLAND ANIMALS,10,2010-06-17 10:41:00,1.95,12921.0,United Kingdom
Year 2009-2010,512685,20755,BLUE PAISLEY POCKET BOOK,12,2010-06-17 11:46:00,0.85,13971.0,United Kingdom
Year 2009-2010,512713,21210,SET OF 72 RETRO SPOT PAPER  DOILIES,12,2010-06-17 12:33:00,1.45,17419.0,United Kingdom
Year 2009-2010,512732,21955,DOOR MAT UNION JACK GUNS AND ROSES,3,2010-06-17 13:43:00,7.49,14590.0,United Kingdom
Year 2009-2010,512733,84968C,S/16 VINTAGE PISTACHIO CUTLERY,1,2010-06-17 13:48:00,25.49,,United Kingdom
Year 2009-2010,512741,48189,DOOR MAT FRIENDSHIP ,3,2010-06-17 14:37:00,7.49,14667.0,United Kingdom
Year 2009-2010,512750,22357,KINGS CHOICE BISCUIT TIN,1,2010-06-17 15:03:00,4.25,16925.0,United Kingdom
Year 2009-2010,512827,22385,JUMBO BAG SPACEBOY DESIGN,20,2010-06-18 11:34:00,1.95,15981.0,United Kingdom
Year 2009-2010,512889,22348,TEA BAG PLATE RED SPOTTY ,2,2010-06-18 12:04:00,0.85,16797.0,United Kingdom
Year 2009-2010,512902,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,3,2010-06-18 13:22:00,4.65,12412.0,Denmark
Year 2009-2010,512905,21901,"KEY FOB , BACK DOOR ",3,2010-06-18 14:01:00,0.65,14825.0,United Kingdom
Year 2009-2010,512922,21319,GLASS CHALICE GREEN  SMALL ,6,2010-06-18 17:30:00,1.65,13676.0,United Kingdom
Year 2009-2010,512943,22626,BLACK KITCHEN SCALES,1,2010-06-20 14:38:00,8.5,17623.0,United Kingdom
Year 2009-2010,513019,84791,GINGHAM HEART DECORATION,4,2010-06-21 11:55:00,2.95,14593.0,United Kingdom
Year 2009-2010,513020,21718,RED METAL BEACH SPADE ,24,2010-06-21 11:57:00,1.25,13707.0,United Kingdom
Year 2009-2010,513047,90214V,"LETTER ""V"" BLING KEY RING",1,2010-06-21 12:56:00,1.25,17841.0,United Kingdom
Year 2009-2010,513050,84946,ANTIQUE SILVER TEA GLASS ETCHED,12,2010-06-21 13:18:00,1.25,14493.0,United Kingdom
Year 2009-2010,513056,47559B,TEA TIME OVEN GLOVE,6,2010-06-21 13:52:00,1.25,13334.0,United Kingdom
Year 2009-2010,513184,85099B,JUMBO BAG RED RETROSPOT,20,2010-06-22 13:23:00,1.95,16748.0,United Kingdom
Year 2009-2010,513186,22218,CAKE STAND LACE WHITE,6,2010-06-22 13:28:00,4.25,16227.0,United Kingdom
Year 2009-2010,513200,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-06-22 16:28:00,3.19,,United Kingdom
Year 2009-2010,513206,84715,SET OF 6 ICE CREAM SKITTLES,8,2010-06-23 09:30:00,2.95,16680.0,United Kingdom
Year 2009-2010,513324,22536,MAGIC DRAWING SLATE PURDEY,48,2010-06-23 16:52:00,0.42,17345.0,United Kingdom
Year 2009-2010,513334,22620,4 TRADITIONAL SPINNING TOPS,12,2010-06-24 09:29:00,1.25,12437.0,France
Year 2009-2010,513359,21556,CERAMIC STRAWBERRY MONEY BOX,1,2010-06-24 11:32:00,5.06,,United Kingdom
Year 2009-2010,513428,21231,SWEETHEART CERAMIC TRINKET BOX,12,2010-06-24 13:03:00,1.25,13050.0,United Kingdom
Year 2009-2010,513437,22381,TOY TIDY PINK RETROSPOT  ,3,2010-06-24 14:09:00,2.1,15858.0,United Kingdom
Year 2009-2010,513440,21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",1,2010-06-24 14:34:00,4.95,14583.0,United Kingdom
Year 2009-2010,513468,21124,SET/10 BLUE SPOTTY PARTY CANDLES,24,2010-06-24 16:24:00,1.25,12741.0,USA
Year 2009-2010,C513477,PADS,PADS TO MATCH ALL CUSHIONS,-1,2010-06-24 16:56:00,36.6,14459.0,United Kingdom
Year 2009-2010,513540,21069,VINTAGE BILLBOARD TEA MUG,12,2010-06-25 11:39:00,1.25,15629.0,United Kingdom
Year 2009-2010,513559,22244,"HOOK, 3 HANGER ,MAGIC GARDEN",1,2010-06-25 13:35:00,1.95,17804.0,United Kingdom
Year 2009-2010,513563,21210,SET OF 72 RETRO SPOT PAPER  DOILIES,12,2010-06-25 14:02:00,1.45,12986.0,United Kingdom
Year 2009-2010,513564,ADJUST2,Adjustment by Peter on Jun 25 2010 ,1,2010-06-25 14:15:00,300.13,17050.0,United Kingdom
Year 2009-2010,513565,ADJUST2,Adjustment by Peter on Jun 25 2010 ,1,2010-06-25 14:15:00,72.45,16422.0,United Kingdom
Year 2009-2010,513566,ADJUST2,Adjustment by Peter on Jun 25 2010 ,1,2010-06-25 14:15:00,358.47,17364.0,United Kingdom
Year 2009-2010,513615,22457,NATURAL SLATE HEART CHALKBOARD ,2,2010-06-27 12:25:00,2.95,15998.0,United Kingdom
Year 2009-2010,513625,84378,SET OF 3 HEART COOKIE CUTTERS,1,2010-06-27 13:09:00,1.25,14505.0,United Kingdom
Year 2009-2010,C513749,47591A,CAROUSEL DES CHILD'S APRON,-7,2010-06-28 12:37:00,1.65,12472.0,Germany
Year 2009-2010,513776,21080,SET/20 RED SPOTTY PAPER NAPKINS ,192,2010-06-28 14:01:00,0.64,16754.0,United Kingdom
Year 2009-2010,513788,22508,DOORSTOP RETROSPOT HEART,4,2010-06-28 15:19:00,3.75,13152.0,United Kingdom
Year 2009-2010,513790,22356,CHARLOTTE BAG PINK WITH WHITE SPOTS,10,2010-06-28 15:26:00,0.85,13069.0,United Kingdom
Year 2009-2010,513810,22645,CERAMIC HEART CAKE MONEY BANK,12,2010-06-29 09:32:00,1.45,14156.0,EIRE
Year 2009-2010,513830,84970S,HANGING HEART ZINC T-LIGHT HOLDER,24,2010-06-29 10:54:00,0.85,13089.0,United Kingdom
Year 2009-2010,514163,82494L,WOODEN FRAME ANTIQUE WHITE ,2,2010-06-30 15:34:00,2.95,16283.0,United Kingdom
Year 2009-2010,514211,22487,WHITE WOOD GARDEN PLANT LADDER,1,2010-06-30 16:51:00,9.95,13589.0,United Kingdom
Year 2009-2010,514218,21524,DOORMAT SPOTTY HOME SWEET HOME,2,2010-07-01 08:57:00,7.49,14911.0,EIRE
Year 2009-2010,514312,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2010-07-01 13:25:00,1.65,12662.0,Germany
Year 2009-2010,514355,21903,MAN FLU METAL SIGN,2,2010-07-01 16:48:00,2.1,17589.0,United Kingdom
Year 2009-2010,514359,82582,AREA PATROLLED METAL SIGN,1,2010-07-01 17:30:00,2.1,16907.0,United Kingdom
Year 2009-2010,514366,22423,REGENCY CAKESTAND 3 TIER,1,2010-07-01 19:05:00,12.75,13969.0,United Kingdom
Year 2009-2010,514367,16161U,WRAP SUKI AND FRIENDS,25,2010-07-01 19:16:00,0.42,15015.0,United Kingdom
Year 2009-2010,514397,21213,PACK OF 72 SKULL CAKE CASES,24,2010-07-02 12:13:00,0.55,16779.0,United Kingdom
